Crypto,Address identifier,Txid,Vout,Value,Escrow model,Revealed payload,Redeem script,Witness script
BTC,00959abf254ddaf49175c8083de1f1235b0b83e2ea,ea274af945020f7292bd166362c831c3b9971b86d259369c6bd9191c7d7d2e33,0,589050,commit_reveal_v1,release_by_seller:d95d652454cc7340dbacf9942586e87a5ae6ba29cc088ab83c54611dc1242073,0020d833d10b0cd9ced2a144811efc7ce1c541fc6650f8108fb728150a8b79e9afa7,76518763751422ba45d9ad06ed2f75c9dc5d76ad5a31aebd040d1486d6eeb87e3260725a1026e6002f8eb48300d7e36776528763751422ba45d9ad06ed2f75c9dc5d76ad5a31aebd040d14e52ac3c327f951174316aa0d2b687d358c364b4167765387637514a5cba0c9c61cb329352ca46fb21576e84c5bbb8f140cebfe047887d61311a2ba7796b59ba4fc8f4e9567548814a5cba0c9c61cb329352ca46fb21576e84c5bbb8f1410455b5b3844cff1a562847b54f4b54923a5da2e6868687ba98878a988ac
BTC,00c45c26c0493dd3f1c51f2ed9ef6421be6cebe5a3,6fc5792dddf7cc9b947c5f94dbbd4f43ff1141719e29793beff3264a1a46b8f4,0,3315609,commit_reveal_v1,release_by_seller:c87718a0158ee014f4fdef495a02991a246b146f083d8d5a4adb1b6c73bd4a22,002021cf6590d831581f5a91f080739854dfb9fccc57202f69a61fa57f5fa254115b,76518763751457e8fba0a472a292ef2736aa3eb5d69e8ff253f3147536c265e62fd65025e555d40481554e7a1e799d6776528763751457e8fba0a472a292ef2736aa3eb5d69e8ff253f3140b62f059113b6f2035b3248a1e73976e75fb9bfa677653876375148850588de602bdf81a237a8b5e843a815615d47a14b79103ff817aec912207d98677b1e9af78c8ac57675488148850588de602bdf81a237a8b5e843a815615d47a1480d3b324cd51e1930d0a24b2cfee38c01fc39b996868687ba98878a988ac
BTC,00d72d051be892cf9cdb89e838070f40308bace21d,04ca886ed24ae8f4557c71dbbe6ace41f67521e51b31a04e198651feb43d7b87,0,757400,commit_reveal_v1,release_by_seller:4242edcb9be1ba08dd92be7684bb7381b958ac1f1c7327a73762c4e5f91c3f3b,0020e8065806c05f85551d13919db5307dfe53053286099b83097022bf32d15d7c86,7651876375143afe4d143a96bb2b5b050990df4cd94eb719cf9e147d676d33041dccdb8235cf628e335a7855494f44677652876375143afe4d143a96bb2b5b050990df4cd94eb719cf9e141ed0970fff69320dc3e0c55adfe98461d705b8c7677653876375140f17aa4f4958f7ccd8089442250e49c552a1bf2f1466096682934dc6de0f4b1c8076d427bb0d111e0f675488140f17aa4f4958f7ccd8089442250e49c552a1bf2f14b4eadb1f384c2045134eb1fa48deb977877036276868687ba98878a988ac
BTC,00a0d470d058510ee7f194435de9c0c6f73e4d3e42,dc69ea640685141ff9b58e84a286d9a42d4206f4b2529f2740069a9f0e292b1d,0,7574000,commit_reveal_v1,release_by_seller:faf323deed29aa53043b75cbc0c582d3918b2e116a00514ee2db1c484596d215,0020e5fc597f9eb5eb3a8718b87634bf3c20b3911c6bd7336a48b1610b3a03d87f54,76518763751467425733d77f679a68d8cca9ef4a2c4e31afb47f1436b068c055876617b2caf53d49c98568473c5f1b6776528763751467425733d77f679a68d8cca9ef4a2c4e31afb47f140b396cc872f9f31b48a46a190d35c95bd123295e67765387637514188f4ba1b8702de38d3f0a55f32db599170651cc14a5080e8020023e13fbf1da0b5a606f1718bdbe8767548814188f4ba1b8702de38d3f0a55f32db599170651cc14b1f5fca435b0810420239e26685b516a5618b6c36868687ba98878a988ac
BTC,00a36554eabf462ff17285911de51957886847a066,e67f0b978e709e4519f807ad851f32db143f7f70aadadf38438021a106be714a,0,1120185,commit_reveal_v1,release_by_seller:35d5f9ced48dc69b847fd07ac334516fd18d2c17e76e5a9c1fb7b1aff15c12e8,00202559e269e3121bc74739e177652ec81704109b81224b4e77b82f48f25b3ed168,7651876375147455f91cafd35468fc1b318734aa163476cdd4d9144b7c9265abf4f14de5790e70424e66c5502d7857677652876375147455f91cafd35468fc1b318734aa163476cdd4d9149af7a34bd04e9549e98248df47e6ade51606825f677653876375145a1493fb639da83b8ed883cacaa288e988c7960c14345ead789d60bcabc4cd7d11354657e1f855244d675488145a1493fb639da83b8ed883cacaa288e988c7960c14a565f3704024cdc41d4a9681f8077c79a22e7d1a6868687ba98878a988ac
BTC,00959abf254ddaf49175c8083de1f1235b0b83e2ea,a4355e1bce421803da0f0e213fa13843508bfd1ea8f17400a23d3caf40d6bc96,0,1176813,commit_reveal_v1,release_by_seller:30ba0bc71b8458fc764f89a6dfd27a4a0fc99d1c084eecab6252c73245ecc348,0020ad11c98f0b912b44415bb3dffd69ada13ccf69a4563e923812e61c24d8876a3d,76518763751422ba45d9ad06ed2f75c9dc5d76ad5a31aebd040d14f6ffec5d23526186754d01b8992cbbad8f7897bf6776528763751422ba45d9ad06ed2f75c9dc5d76ad5a31aebd040d14d56b72dcd010130e87839cf792def6ee046995a467765387637514867fd7019799a4ee191272a8ace8fed0c9f588ea146b476b731995456224b1c4b7447cb087988d9f4667548814867fd7019799a4ee191272a8ace8fed0c9f588ea14ad736cab69329d4d7df796a4a009b46836087fcc6868687ba98878a988ac
BTC,00e0ac9284aac320e33385f7ababfed541ac8d1867,eaf468dfdcc188e5dbe1d79fac0570577c9f02f68c9c46f934b24df77e0c0396,0,22435875,commit_reveal_v1,release_by_seller:de0d3c1583b64217d803a82e42c9c60c583fc64f0eaa96affc46aa52a199fd1f,0020aaf50d1af25e9b2a826fd254583add8d93cf0c68b3eaaaafd0b9b3bd1b80e39c,765187637514078cb3e3f6d0667b982e16bb185f16013e409de814dca692d329d3296a2774ec17da0f652afdcfba5367765287637514078cb3e3f6d0667b982e16bb185f16013e409de8149c46e47fd0b009b92447695a56239bdf5a6f5eea677653876375145f74b28fedf7373182aad23445606e5bb16cb17114a0ec331a40189be5ea969ddfa875166ce60e1be6675488145f74b28fedf7373182aad23445606e5bb16cb1711466bc69dcc1b1477657a318693bbc6ae6e765934f6868687ba98878a988ac
LTC,00746425c080880eff6a3fcc6b5e10244348092c57,a8db39194963fd5494075eda0b6da7fd83eb7310e6736d0a823cf691f8f0782d,0,92367000,commit_reveal_v1,release_by_seller:b6987df1906fe8b0d86dab8af4b7be5a3e5ffb75d34747b62d4c90edfee5dd95,0020dbd444b4c61738b05cb5937303c42a8e662e50e59f13a44d74e17c4ef0ca6f89,765187637514b005f92b3e158c9f5cfcee51e6b9a716531a36fa141d289ccee2cceead3386cd92e59cba7ea5f083a067765287637514b005f92b3e158c9f5cfcee51e6b9a716531a36fa1402eb7a00bd30338465d5916c329f23a37e37da8e67765387637514136c55665ae01a3f7a48731d80dc5e20488b69841479db860876fc7317f41a82c92b199706e19a545c67548814136c55665ae01a3f7a48731d80dc5e20488b698414dca7e06baa4c28f16e743b819f1557b270f7ee2a6868687ba98878a988ac
BTC,007cff012e9719c3599b893a7220c07e597e7535aa,bac876bdcc451719fae447256a85e44901b039e920b3dad98e36be2a21c77c60,0,3081200,commit_reveal_v1,release_by_seller:150be9a4c79e4c902bdb83c3e6d3a5e1a4e8b2ee5a4bf8a0802d3324bf946daf,00201a739050943ee7166f3466d698ed0acfd3c4899d08ab5e1bf78c1cafdc75a78e,7651876375142642bb1f82414fd6e80e45e4b60985ea3b9850b314fc0930473408630ec440d4f7abacd78469353fad677652876375142642bb1f82414fd6e80e45e4b60985ea3b9850b31427628fdc75847b954a003a54c81a3069ff97357c67765387637514eca5601d506244afc25eef292517c78082901811149f94ba1faac0b090d0667c1a0c09ddec5e40776b67548814eca5601d506244afc25eef292517c7808290181114910e186d4e4797a286e5d589e7ced5fbe91bdddf6868687ba98878a988ac
BTC,008a4ee1781e340a86d2636fb072c0013b3a790523,61888bf43a04f63096e8d98cc1780859e9561dcddf921b1d612c774f8b9fc744,0,452100,commit_reveal_v1,release_by_seller:857b8e23919022260c4d60abab9dd5926ce99bb31d5d7c5487590f716cd0bf8c,00207942834787e2c47e187d66966c13b3e6b164efadaff6f94c7b8bd69c12b611fd,7651876375149be2832513250bf6806e08ed4bf4d0700a34dbb31400b9a4c653931dcce52370735a4c23d27e38eac1677652876375149be2832513250bf6806e08ed4bf4d0700a34dbb31453feaace7ae4c9930367b336877558be811bf59c67765387637514208636da0f15ea6a5f74e4e6f496988c4008b343144d55e8166af2396a6d08eb8850b5771d8d7a33f467548814208636da0f15ea6a5f74e4e6f496988c4008b34314697aa60cde3345eba1dc75adace5eb45455f20426868687ba98878a988ac
BTC,00440851deb6b53e6f2d9a13396bd8bf2e543c6369,376bac8d80f7d30f83eb84930e6e0786bf0f1aff6d6182492762722164f52fc5,0,1487100,commit_reveal_v1,release_by_seller:b80c03c973572518ceccbc8931dd9540a0a24e2b426fc2deba40e8a2da7e5464,00200119c5e47223aa3d36df31db889b592f9be5ca0cbe916f16bb7732f25708485c,765187637514619b655c8bfc2b5ea5c9fbee288052efd14200c614ff556f298e6f55967eb80b0f32c0f160ba20b9ae67765287637514619b655c8bfc2b5ea5c9fbee288052efd14200c614b7c16f97bbd4f404eb3d3d4f609d5efdf573458667765387637514659f572d1c0c97f230d1ed2e5eb97fa0278c2f1a14d07283ff9e414fe5b1c15efc371bc0af5e0338af67548814659f572d1c0c97f230d1ed2e5eb97fa0278c2f1a1450fcb8c753a43db547fb8276ccab68edeef254546868687ba98878a988ac
LTC,00746425c080880eff6a3fcc6b5e10244348092c57,1afc6152e353803aff70f74e29b7ffca2ae1758c4cec98f6e5e3ccbe513a9553,0,120849597,commit_reveal_v1,release_by_seller:68a303fb865a9d168e5811a02b9bad7ac0a07112bdd207bcceb353eff8b21eac,0020a3649081dff1b723eb26b788c5867cd720ce6579bc8dc63f37c1cf037b689653,765187637514b005f92b3e158c9f5cfcee51e6b9a716531a36fa14b00fe7cddc1ba4766a038384d2cc0029db9c255567765287637514b005f92b3e158c9f5cfcee51e6b9a716531a36fa14b8c82bbfba3181e67d6e04afd879a27052d973e567765387637514bba328dd59d284ee235d9554db0701f19a117325146a4012c98d5f7b3e924b7e723199c6dd366fde3767548814bba328dd59d284ee235d9554db0701f19a117325141ca8e1735345f457788c1b5318e61feb2f16e9916868687ba98878a988ac
BTC,00053b45dde340252b32082375d7783a0b05818f0f,233304207b996ca8e06a9a9725e9713098209aa3b01443f8033feadd29e5cbf5,0,407484,commit_reveal_v1,release_by_seller:f8ab16feae9014b90278b886e6e5518c23a652c3ba7391e3f0df43b57a6f5386,0020c2eba7b1ecf1aff7d7a2ed4cf25315872d9ba5c0adefd1b1ef9a7f6fa9d5c1e8,765187637514159c4eb37d0aa45f1eb9eb477b950174b829c03314f730681fa01a038dcb12236ba84d494357825bdf67765287637514159c4eb37d0aa45f1eb9eb477b950174b829c033148378af0c0e6870da5c6301acbeabffbb5b789ddb6776538763751449eb287f22f64ea5edacbdac4a007829d9e7dc7914f87656f21d7f61ad378544cc89769b755768157c6754881449eb287f22f64ea5edacbdac4a007829d9e7dc7914246d136b4037a7f81aa5e04b5a528d85ec66ca7f6868687ba98878a988ac
BTC,00ebfd49c5ee12fedafb9ec92f70cb4b42072c0c11,5200e5c4643eee83926ebbb2d7bb5f3706f62387fd1baa4f0c81d1974add3674,0,5940000,commit_reveal_v1,release_by_seller:8f20c1e47dfc0bbf3fb57382f5d262dab73eaec8a61d0dff25fd6d86125f1e47,002021b1cf41a75a5caf2839f5c5fd37d76adb11e734690fac09d597c15d34c2745b,76518763751483a9b525240dfa5dd916bf5606135246d0df4c4d148647fe3a8dc29898b24fc6881eca31d956f1c2de6776528763751483a9b525240dfa5dd916bf5606135246d0df4c4d149b9267c6869b6a586b148199e3d1c897942f8e08677653876375140bfea0b7d4086a8403efd893e73b3b964998687314939125861d13b03c93b687236102c11a35cb2375675488140bfea0b7d4086a8403efd893e73b3b964998687314d9c7acd03b730131b2640d13870f8e2f46bfa6c76868687ba98878a988ac
BTC,004ddb72699d8e1ee946bf8d9496911b06b4b3e0ae,31cc1580a9c42e6499cc0ba79c11ab3bd44ac8c395ad9b76e059dda922eaa20e,0,992400,commit_reveal_v1,release_by_seller:2baa8a01dbbfd390e760b42fa11470111376bb398213101173b8b628178d483b,00202c7a78f159caf6aeaf50fa3bebc54386650efdefe1459c0760cb61550c975215,7651876375145fd9001d7bed2b78cf591b708665b10e8ff8bd861472d61401bea3ffe934bef8937e490cdca06ebb12677652876375145fd9001d7bed2b78cf591b708665b10e8ff8bd8614e02723f635bbb9f98eb4f12b6650284444b5ac9267765387637514659f572d1c0c97f230d1ed2e5eb97fa0278c2f1a145a3c1cac112c53e2ef14dc900d5e5c4bac5449a467548814659f572d1c0c97f230d1ed2e5eb97fa0278c2f1a14cf0ec0a280b6f3c947cd73914c100a0bfd9528096868687ba98878a988ac
BTC,00eab9ed59cddbc15aa4a13d6e9f055f90b6b67deb,0d01db443ba29ad6566ebcc6733de6bd25432b0380ea1ec6966d2213803a7d98,0,333400,commit_reveal_v1,release_by_seller:3263c6600effd160894bb02bace9b0fb5f3023d6c191d65ae6aba2449d184e73,00205ae6e35515646eb7a7bc18bf9c0e60c34785895ebac110c76ed5c068d03a0377,7651876375145be874ba1515584fc5f65a43bed0602690df116c1424ec820d5774198e986e73501562ece9b6cc132c677652876375145be874ba1515584fc5f65a43bed0602690df116c14fa09c42c92d4fbc3e6a724ddbf7d79257e077e906776538763751426d277dd8993f1ff4aaffb4e540943a3a0787499147e86097e9f211e15ff895a5736aa8c2317408a826754881426d277dd8993f1ff4aaffb4e540943a3a0787499149b8b87f013acfd02d23b5d13d55f741534c27b236868687ba98878a988ac
